OBJECTID,PARK_CAT,TMK,PARK_TYPE,PARK_NAME,MAIN_DIST,LINK_ID,NAME,LEGAL_ACRES,DEDICATED,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ShapeSTArea,ShapeSTLength
337,1,84002047,Beach Park,Makaha Beach Park,3,129,Makaha Beach Park,20.62000084,,{7F0FACEA-BF9F-4A0D-B642-98D8D6CF90E9},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,887738.721328735,7752.49215520653
338,1,17026,Mall,College Walk Mall,2,365,College Walk Mall,1.58000004,,{D5A29F96-C211-49ED-B245-45B85DCB5632},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,59070.5663909912,2540.58914945594
339,1,26023081,UrbanPark,Princess Kaiulani Triangle,1,221,Princess Kaiulani Triangle,0.12,,{9D58210E-225D-4EF2-909C-0F68938372DB},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,11920.1794281006,483.614127464538
340,1,26024002,Mini Park,Kuhio Mini Park #2,1,201,Kuhio Mini Park #2,0.12,,{0E6CDCDF-0CB8-4AB1-AA67-0B6FAED28A6B},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,4830.24197769165,291.864918061157
341,1,26001015,Beach Park,Kuhio Beach Park,1,56,Kuhio Beach Park,3.4000001,,{22991FEF-BACF-4108-88D7-23841D98AB3B},mpc,2013-07-08T12:31:04.000Z,gmasaki,2016-08-15T11:11:06.000Z,290739.517066956,5470.83208603722
342,1,,Mini Park,Kuhio Mini Park #3,1,463,Kuhio Mini Park #3,0.1,,{96DBCBE2-1222-4466-9635-3A4F263F4D36},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,3747.28441238403,276.442693834367
343,3,91056001,Beach Park,Makaiwa Beach Park (future),3,9022,Makaiwa Beach Park (future),47.29999924,N,{84427108-00B5-4924-8BB7-7CE03193931D},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,816169.814163208,8876.60102542937
344,1,92044004,Neighborhood Park,Kahiwelo Neighborhood Park,,,Kahiwelo Neighborhood Park,3.085,,{F5D10EE3-F7BE-4768-8B7E-C7ED32BD85B1},gmasaki,2015-06-17T10:42:21.000Z,gmasaki,2015-06-17T10:50:38.000Z,130585.582138062,1441.16854521732
345,1,32059002,District Park,Kilauea District Park,1,124,Kilauea District Park,6.57999992,,{2E7A4687-B2EE-4472-A9AF-516969A17889},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,290366.011119843,2555.55127536853
346,1,,Community Park,Puu O Hulu Community Park,3,94,Puu O Hulu Community Park,11,,{074FFCAE-88F7-4A61-8A23-505C3D71C0D8},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,479735.647293091,2776.92956021077
347,1,,Botanical Garden,Koko Crater Botanical Garden,1,33,Koko Crater Botanical Garden,200,,{A4AAF07D-B8C8-4D93-A747-D967D067F671},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,7927370.95064545,11779.7850676491
348,1,92019035,Community Park,Makakilo Community Park,3,311,Makakilo Community Park,8.5,,{1965F0F7-A147-40E8-A8C3-5A88DC67C293},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,369582.824836731,2812.2687165136
349,1,98060008,Neighborhood Park,Newtown Neighborhood Park,3,285,Newtown Neighborhood Park,8.07999992,,{F1A5E03E-6E34-4F67-9EA1-B153FF2F4BC5},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,354241.94367981,3717.71987770117
350,1,39011002,Beach Park,Sandy Beach Park,1,197,Sandy Beach Park,32.81999969,,{00E8D975-95AE-4CEB-85E2-593572B7520F},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1211325.17210388,8538.86380813363
351,1,39012001,Regional Park,Koko Head Regional Park,1,32,Koko Head Regional Park,951.35998535,,{806605B5-105A-4F97-B16F-E88716B7013F},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,21897386.198761,51483.6391418512
352,1,27036001,Neighborhood Park,Ala Wai Neighborhood Park,1,51,Ala Wai Neighborhood Park,15.69999981,,{EF89FAC1-1E18-4787-AC38-93451C14BE13},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,636763.928962708,8064.15030618691
