objectid,unit_name,gis_acres,mammal_uni,bird_unit,status,descriptio,game_desig,note_,note_cont,island,linkto_isl,linktoadmi,linktoad_1,linktoad_2,st_areashape,st_lengthshape
70,Unit 2,17907.0698057,Unit 2,Unit 2,Hunting Area (Mammal and Bird),Unit 2,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,72467340.4495972,0
15,Unit D,994.64331157,D,No Hunting,Hunting Area (Mammal ONLY),Portions of Honolulu Watershed F.R. (Wailupe),Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,4025178.673437,0
49,Safety Zone,148.31296821,Safety Zone,Safety Zone,Safety Zone,Safety Zone Polihale State Park,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,600201.2879117,0
50,Safety Zone,14354.0853101,Safety Zone,Safety Zone,Safety Zone,Safety Zone Puu Opae DHHL and ADC lands,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,58088922.3250088,0
16,Unit D,358.71306353,D,No Hunting,Hunting Area (Mammal ONLY),Portions of Kuliouou I and Kuliouou II,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,1451660.26494544,0
17,Unit C,2548.68406027,C,No Hunting,Hunting Area (Mammal ONLY),EWA F. R.(WAIMANO SEC.),Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,10314158.4579685,0
18,Unit A and 1,1588.17881991,A,1,Hunting Area (Mammal and Bird),KUAOKALA G.M.A.,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,6427131.65725417,0
32,Safety Zone,42.65376408,Safety Zone,Safety Zone,Safety Zone,Safety Zone Milolii Beach,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,172613.659111583,0
71,Unit 1,14314.3637527,Unit 1,Unit 1,Hunting Area (Mammal and Bird),Unit 1,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,57928174.8852585,0
150,Unit K,645.94356801,K,K,Hunting Area (Mammal and Bird),Waiakea 1942 Lava Flow NAR,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Hawaii,http://dlnr.hawaii.gov/recreation/hunting/hawaiiisland/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,2614040.87671961,0
