X,Y,objectid,name,own,tmk,type
-157.861450251273112,21.311021981453198,678,Chinatown Gateway Park,Other,21003025,sq/ente/tri/prom
-157.861552738860496,21.310857809189859,679,Chinatown Gateway Park,City,21003015,sq/ente/tri/prom
-158.002758580450092,21.311560184409238,680,Ewa Beach Road C,Other,91006,road
-157.85683628729555,21.310299561530961,681,Queen Emma Square,State,21018004,sq/ente/tri/prom
-158.00449919178314,21.311053290956572,682,Ewa Beach Road A,Other,91006,road
-157.860161016647169,21.309827549838783,683,Union Street Mall,Other,21010,mall
-157.830819769285682,21.308898748982632,684,Archie Baker Mini Park,State,25020001,mini
-157.861637079973548,21.309528150177613,685,Fort Street Mall,Other,21012,mall
-158.00704590624531,21.310384013281006,686,Parish Drive,City,91007039,road
-157.850466678567045,21.308722601253237,687,Dole Community Park,State,21038007,community
-157.861726896545719,21.309131270163942,688,Robert W. Wilcox Mini Park,City,21012003,mini
-157.862472728641393,21.308985006302944,689,Fort Street Mall,Other,21012,mall
-158.010899925646015,21.309749516641979,690,Oneula Place,City,91025061,road
-157.800704525578851,21.305999057399479,691,Waahila Ridge State Park,State,,State
-158.047821401377945,21.308859760343768,692,Kalaeloa Regional Park (Barbers Poin,Federal,91013001,regional/cultural
-157.863164814965046,21.308619304065754,693,Fort Street Mall,Other,21013,mall
-157.857749618400675,21.308049573107088,694,State Capitol,State,21024008,
-157.863783393919391,21.308253102400908,695,Fort Street Mall,Other,21013,mall
-157.683513302208922,21.305955002092638,696,Kamilo Iki Neighborhood Park,City,39098090,neighborhood
-157.858745065996686,21.306787085376659,697,Iolani Palace State Monument,State,21025002,monument
-157.864478778266886,21.307142128428673,698,Irwin Memorial Park,State,,
-157.857076011717908,21.306958672871534,699,State Capitol,State,21024001,
-157.831917451042699,21.306478520172845,700,Makiki Street Mini Park,City,24023054,mini
-158.050463512209035,21.305113882233613,701,Kalaeloa Regional Park (Barbers Poin,Federal,91013001,regional/cultural
-158.030254892012579,21.306165371999221,702,Oneula Beach Park,City,91012025,beach
