X,Y,objectid,feature_id,elev_in_m,elev_in_ft,map_name,feature_name,feature_class,state_alpha,state_numeric,county_name,county_numeric,primary_lat_dms,prim_long_dms,prim_lat_dec,prim_long_dec,source_lat_dms,source_long_dms,source_lat_dec,source_long_dec,date_created,date_edited
-155.86357257493728,19.028077803164461,3189,361513,4,13,Pohue Bay,Kukihihi,Cape,HI,15,Hawaii,1,190141N,1555149W,19.0281234,-155.8635736,,,,,1981-02-06T00:00:00.000Z,2013-01-18T00:00:00.000Z
-154.833185014322055,19.511303138801001,3190,361514,70,230,Kapoho OE N,Kūkiʻi,Summit,HI,15,Hawaii,1,193040N,1544959W,19.511236,-154.8331761,,,,,1981-02-06T00:00:00.000Z,2018-08-30T00:00:00.000Z
-159.34788808692835,21.956915553077231,3191,361515,9,30,Lihue,Kūkiʻi Point,Cape,HI,15,Kauai,7,215725N,1592053W,21.95684,-159.34793,,,,,1981-02-06T00:00:00.000Z,2012-08-21T00:00:00.000Z
-155.995478716385747,19.811097332725343,3192,361516,30,98,Kiholo,Kukio One,Civil,HI,15,Hawaii,1,194840N,1555944W,19.8111111,-155.9955556,,,,,1981-02-06T00:00:00.000Z,
-155.992975961271696,19.795105976172987,3193,361517,122,400,Kiholo,Kukio Two,Civil,HI,15,Hawaii,1,194742N,1555935W,19.795,-155.9930556,,,,,1981-02-06T00:00:00.000Z,
-156.000605869590458,19.820313696873278,3194,361518,0,0,Makalawena,Kūkiʻo Bay,Bay,HI,15,Hawaii,1,194913N,1560003W,19.8201665,-156.0007095,,,,,1981-02-06T00:00:00.000Z,2018-08-30T00:00:00.000Z
-155.202086581882583,19.966315176903557,3195,361519,22,72,Papaaloa,Kuku Point,Cape,HI,15,Hawaii,1,195758N,1551208W,19.9661893,-155.2020979,,,,,2003-09-30T00:00:00.000Z,2013-01-18T00:00:00.000Z
-155.190483965923619,19.65168016079485,3196,361520,703,2306,Piihonua,KūKūau One,Civil,HI,15,Hawaii,1,193906N,1551126W,19.6516667,-155.1905556,,,,,2003-09-30T00:00:00.000Z,
-155.188897224264565,19.662910641676127,3197,361521,660,2165,Piihonua,Kūkūau Two,Civil,HI,15,Hawaii,1,193946N,1551120W,19.6627778,-155.1888889,,,,,2003-09-30T00:00:00.000Z,
-155.088493712711681,19.574533083925022,3198,361522,349,1145,Mountain View,Kukui,Populated Place,HI,15,Hawaii,1,193428N,1550519W,19.57447,-155.08859,,,,,1981-02-06T00:00:00.000Z,2012-10-03T00:00:00.000Z
-157.16639418640662,21.137706817067485,3199,361523,433,1421,Molokai Airport,Kukui,Summit,HI,15,Maui,9,210816N,1570959W,21.137714,-157.16637,,,,,2003-09-30T00:00:00.000Z,2012-08-15T00:00:00.000Z
-159.658194975532894,22.050302965365375,3200,361524,920,3018,Waimea Canyon,Kukui,Summit,HI,15,Kauai,7,220301N,1593930W,22.0501931,-159.6582816,,,,,2003-09-30T00:00:00.000Z,2009-09-23T00:00:00.000Z
-156.045589950668472,20.657113572275296,3201,361525,0,0,Kipahulu,Kukui Bay,Bay,HI,15,Maui,9,203925N,1560244W,20.6569603,-156.045599,,,,,2003-09-30T00:00:00.000Z,2012-09-18T00:00:00.000Z
-155.08617744871043,19.800484640552995,3202,361526,15,49,Papaikou,Kukui Point,Cape,HI,15,Hawaii,1,194801N,1550510W,19.8003623,-155.086205,,,,,1981-02-06T00:00:00.000Z,2013-01-18T00:00:00.000Z
-155.823178323323191,20.019291329319842,3203,361527,1,3,Kawaihae,Kukui Point,Cape,HI,15,Hawaii,1,200109N,1554924W,20.0193027,-155.8232331,,,,,1981-02-06T00:00:00.000Z,2013-01-18T00:00:00.000Z
-155.819090912196998,20.255135560373372,3204,361528,21,69,Hawi OE N,Kumakua Gulch,Valley,HI,15,Hawaii,1,201518N,1554909W,20.2549846,-155.8191673,201151N,1554942W,20.197368,-155.828316,1981-02-06T00:00:00.000Z,2016-10-20T00:00:00.000Z
-156.925731241708831,20.920483010491715,3205,361529,2,7,Lanai North,Kūkui Point,Cape,HI,15,Maui,9,205514N,1565533W,20.9205322,-156.925723,,,,,1981-02-06T00:00:00.000Z,2013-04-19T00:00:00.000Z
-155.662595991547192,20.169684160684092,3206,361530,4,13,Honokane,Kukui Stream,Stream,HI,15,Hawaii,1,201010N,1553945W,20.1695623,-155.6625688,200817N,1554028W,20.138148,-155.674424,1981-02-06T00:00:00.000Z,2013-03-26T00:00:00.000Z
