X,Y,objectid,map_id,name,latitude,longitude,parcel_own,parcel_ope,access_typ,access_sur,dedicated_,shore_type,restroom,showers,picnic_fac,trash_rece,water,phone,lifeguard,alt_name,sign_word
-157.722957814011863,21.395452142511012,62,62,Boat Ramp at Kailua Beach Park,21.395456,-157.722972,State of Hawaii,State of Hawaii,Vertical and Horizontal,Sand,32,Sand,Yes,Yes,No,Yes,Yes,Yes,Yes,Boat Ramp,Reserved Parking For Vehicles With Trailers
-157.726010593790591,21.39640769233128,63,63,Kailua Beach Park,21.396411,-157.726025,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Paved,102,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Kailua Beach Park,N/A
-157.728130034517307,21.398018803096374,64,64,Kailua Beach Park,21.398022,-157.728144,State of Hawaii and City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Sand,140,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Kailua Beach Park (Kalama),Kailua Beach Park(Kalama)
-157.733657814491437,21.398818802527327,65,65,South Kalaheo Ave at Kuuniu Street,21.398822,-157.733672,Various Owners,City & County of Honolulu,Vertical and Horizontal,Sand,0,Sand,No,No,No,No,No,No,No,South Kalaheo Ave at Kuuniu St,"91A, Public Right Of Way To Beach"
-157.740430034622932,21.404202142765495,66,66,Kalama Beach Park,21.404206,-157.740444,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Paved,26,Sand,Yes,Yes,No,Yes,Yes,Yes,No,Kalama Beach Park,Kalama Beach Park
-157.7411633744548,21.404791023008386,67,67,North Kalaheo Avenue at Dune Street,21.404794,-157.741178,Frank Creedon Trust,City & County of Honolulu,Vertical and Horizontal,Sand,0,Sand,No,No,No,Yes,No,No,No,North Kalaheo Avenue at Dune Street,"90B, Dune Beach Right"
-157.743213374704027,21.408293802896409,68,68,North Kalaheo Avenue at Pueohala Pl,21.408297,-157.743228,Frank Creedon Trust,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,Yes,No,No,No,North Kalaheo Avenue at Pueohala Pl,"90A, Pueohala Public"
-157.744124485196807,21.409741023547301,69,69,North Kalaheo Avenue at Ainoni Street,21.409744,-157.744139,Frank Creedon Trust,City & County of Honolulu,Vertical and Horizontal,Sand,0,Sand,No,No,No,Yes,No,No,No,"kai one, ainoni street","89B, Kai One Beach Right Of Way"
-157.747138374675586,21.417666023649126,70,70,North Kalaheo Ave at Kawainui Canal,21.417669,-157.747153,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Dirt,0,Sand,No,No,No,Yes,No,No,No,North Kalaheo Ave at Kawainui Canal,"89A, Kailuana Beach Right Of Way Right Of Way To Beach"
-157.739841154950398,21.425824364014623,71,71,Kaimalino Street,21.425828,-157.739856,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Dirt,0,Sand,No,No,No,Yes,No,No,No,Kaimalino Street,"87B, Pubic Right Of Way To Beach"
-157.738502264696365,21.428071584867638,72,72,Milokai Place,21.428075,-157.738517,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Sand,0,Sand,No,No,No,Yes,No,No,No,Milokai Place,Pubic Right Of Way To Beach
-157.763474485975081,21.422902143872509,73,73,Kane'ohe Bay Drive B,21.422906,-157.763489,City & County of Honolulu,City & County of Honolulu,Vertical,Dirt,0,Rock,No,No,No,No,No,No,No,Kane'ohe Bay Drive B,"68A, Public Right Of Way To Beach"
-157.76879392598255,21.414046583358871,74,74,Kane'ohe Bay Drive A,21.41405,-157.768808,Various Owners,City & County of Honolulu,Vertical and Horizontal,Dirt,0,Rock,No,No,No,No,No,No,No,Kane'ohe Bay Drive A,N/A
-157.773716155804692,21.412468802861365,75,75,Mikiola Dr. C,21.412472,-157.773731,State of Hawaii,State of Hawaii,Vertical,Dirt,0,Rock,No,No,No,No,No,No,No,Mikiola Dr. C,N/A
-157.775232815535446,21.412449362838196,76,76,Mikiola Dr. B,21.412453,-157.775247,State of Hawaii,State of Hawaii,Vertical,Dirt,0,Rock,No,No,No,No,No,No,No,Mikiola Dr. B,N/A
-157.776352265810885,21.412168802774783,77,77,Mikiola Dr. A,21.412172,-157.776367,State of Hawaii,State of Hawaii,Vertical,Paved,0,Rock,No,No,No,No,No,No,No,Mikiola Dr. A,Pubic Right Of Way To Beach
-157.785585596601749,21.412766022731621,78,78,Kane'ohe Beach Park,21.412769,-157.7856,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Dirt,6,Sand,Yes,Yes,Yes,Yes,Yes,No,No,Kane'ohe beach park,The Following Are Prohibited...
-157.806096707416316,21.430413254273439,79,79,Ali'i Landing Shoreline Access,21.430417,-157.806111,Various Owners,City Access Easement,Vertical,Dirt,100,Rock,No,No,No,No,No,No,No,Alii Landing Shoreline Access (Ipuka St),No Sign At Time Of Survey
-157.81971892840221,21.45257991483588,80,80,Kane'ohe Bay Drive Beach Right of Way,21.452583,-157.819733,City & County of Honolulu,City & County of Honolulu,Vertical,Grass,0,Rock,No,No,No,No,No,No,No,Kane'ohe Bay Dr Beach Right of Way,Public Beach Right Of Way
-157.832202268799051,21.458929914971154,81,81,Laenani Neighborhood Park,21.458933,-157.832217,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,15,Rock,Yes,Yes,Yes,Yes,Yes,No,No,Laenani Neighborhood Park,Laenani Neighborhood Park
