objectid,name,own,tmk,type,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_lengthshape
159,Hauula Community Park,City,54001009,community, , ,1899-12-30T00:00:00.000Z,{58337B1A-88F7-40B9-A081-0A7DD3622F7D},,,,2016-09-13T00:00:00.000Z,,,,2495.8455195119,0
160,Hauula Community Park,City,54009007,community, , ,1899-12-30T00:00:00.000Z,{668C68B0-9C91-4FF9-9AE8-218BCBE155F4},,,,2016-09-13T00:00:00.000Z,,,,9877.49341192133,0
161,Hauula Community Park,State,54001040,community, , ,1899-12-30T00:00:00.000Z,{3BB8B3A6-52DB-4D85-9976-28E43B9F7778},,,,2016-09-13T00:00:00.000Z,,,,23.1778875327085,0
162,Hauula Community Park,City,54001002,community, , ,1899-12-30T00:00:00.000Z,{E4D7CC6A-8710-43DB-B1F1-EDB5A6FBAA30},,,,2016-09-13T00:00:00.000Z,,,,2298.19742217589,0
163,Hauula Community Park,State,54009008,community, , ,1899-12-30T00:00:00.000Z,{1FCFF0FC-CD9F-4E84-971E-35880DBA1921},,,,2016-09-13T00:00:00.000Z,,,,2338.57595685283,0
164,Hauula Community Park,State,54001001,community, , ,1899-12-30T00:00:00.000Z,{62F2CF63-EEF4-451A-89DD-B6B2D187F275},,,,2016-09-13T00:00:00.000Z,,,,1610.30148055153,0
165,Hauula Beach Remnant,City,54010005,road, , ,1899-12-30T00:00:00.000Z,{FFFAB699-0384-4AF4-9E49-3B4559E4640D},,,,2016-09-13T00:00:00.000Z,,,,52.9951250818201,0
166,Hauula Community Park,City,54008019,community, , ,1899-12-30T00:00:00.000Z,{3C3A0179-B5B3-469D-B732-664BADDA5981},,,,2016-09-13T00:00:00.000Z,,,,10591.4789317866,0
167,Hauula Community Park,State,54008022,community, , ,1899-12-30T00:00:00.000Z,{68333456-7453-4434-8766-4AFC1997BC02},,,,2016-09-13T00:00:00.000Z,,,,77.47021261978,0
168,Hauula Community Park,City,54008018,community, , ,1899-12-30T00:00:00.000Z,{4F65BA91-65CB-48A3-B5A9-D8E4D758A64E},,,,2016-09-13T00:00:00.000Z,,,,1798.69023379598,0
169,Sacred Falls State Park,State,,State, , ,1899-12-30T00:00:00.000Z,{E140DD90-3544-46FE-9876-7F8415AF122F},,,,2016-09-13T00:00:00.000Z,,,,5556334.76836137,0
322,Pokai Bay Beach Park,City,85008031,beach, , ,1899-12-30T00:00:00.000Z,{D2007706-8955-462E-AB4E-7E2FFB714DD2},,,,2016-09-13T00:00:00.000Z,,,,561.601284459174,0
323,doughnut,doughnut,,null, , ,1899-12-30T00:00:00.000Z,{80F3E072-927E-4403-B06D-D7F263DB135E},,,,2016-09-13T00:00:00.000Z,,,,886.429824856356,0
170,Haleiwa Beach Park,City,62001002,beach, , ,1899-12-30T00:00:00.000Z,{BE9AD977-972F-49D6-B3A3-1B3C0FB54829},,,,2016-09-13T00:00:00.000Z,,,,58257.0413223668,0
171,doughnut,doughnut,,null, , ,1899-12-30T00:00:00.000Z,{B6081EBC-AA0E-4A95-A98D-DC3DD69CC3BF},,,,2016-09-13T00:00:00.000Z,,,,1011.66665193099,0
172,Kaluanui Road,City,53010030,road, , ,1899-12-30T00:00:00.000Z,{B1CB6470-762E-4672-86D6-5C405EE5E04C},,,,2016-09-13T00:00:00.000Z,,,,184.209137800228,0
173,Haleiwa Beach Park Mauka,City,62003022,beach, , ,1899-12-30T00:00:00.000Z,{C7BC41A8-A961-4DCE-A3C5-ED94929229A5},,,,2016-09-13T00:00:00.000Z,,,,1369.30691193015,0
174,Haleiwa Beach Park Mauka,City,62003020,beach, , ,1899-12-30T00:00:00.000Z,{D0F37AB6-D302-413E-91E0-A6AC6ADD46CA},,,,2016-09-13T00:00:00.000Z,,,,3453.96725037699,0
175,Haleiwa Beach Park Mauka,City,62003019,beach, , ,1899-12-30T00:00:00.000Z,{BD6FED83-E1E5-425C-B39A-CDD28E8F2B9A},,,,2016-09-13T00:00:00.000Z,,,,1454.20150299351,0
176,Haleiwa Beach Park Mauka,City,62003017,beach, , ,1899-12-30T00:00:00.000Z,{334F188E-71F8-45B3-B6B5-3074F7C49A51},,,,2016-09-13T00:00:00.000Z,,,,1279.88938992616,0
177,Haleiwa Beach Park Mauka,City,62003038,beach, , ,1899-12-30T00:00:00.000Z,{2C4B0D8D-4A8E-4860-A18F-120FC3E21E00},,,,2016-09-13T00:00:00.000Z,,,,6235.0531667884,0
178,Haleiwa Alii Beach Park,City,66002001,beach, , ,1899-12-30T00:00:00.000Z,{908340EC-8749-4A3E-BFD7-AD2C802955AB},,,,2016-09-13T00:00:00.000Z,,,,78146.803778774,0
324,Pokai Bay Beach Park,City,85001006,beach, , ,1899-12-30T00:00:00.000Z,{C54D45C2-090A-414E-AF53-4957E806A90E},,,,2016-09-13T00:00:00.000Z,,,,1045.77161888488,0
367,Maili Beach Park,City,87015008,beach, , ,1899-12-30T00:00:00.000Z,{55B2B0FB-AE65-4C15-A73C-8A456CF1D7BB},,,,2016-09-13T00:00:00.000Z,,,,3480.29770218711,0
368,Maili Beach Park,City,87015007,beach, , ,1899-12-30T00:00:00.000Z,{846BF300-A819-49FE-B871-20F1307B97C4},,,,2016-09-13T00:00:00.000Z,,,,3704.18506786899,0
179,Kaiaka Bay Beach Park,City,66007007,beach, , ,1899-12-30T00:00:00.000Z,{54A585C8-2649-4B19-8D30-4BC53203DA08},,,,2016-09-13T00:00:00.000Z,,,,213066.923920256,0
180,Au Street A,Other,68011042,road, , ,1899-12-30T00:00:00.000Z,{3AEFE388-BEA4-4CEE-ACCF-F6C8D3D2C012},,,,2016-09-13T00:00:00.000Z,,,,143.055158181648,0
181,Aweoweo Beach Park,City,68011038,beach, , ,1899-12-30T00:00:00.000Z,{F79900F7-BEC8-40CE-BAE6-5C2307A674FC},,,,2016-09-13T00:00:00.000Z,,,,1274.26554028691,0
182,Aweoweo Beach Park,City,68011037,beach, , ,1899-12-30T00:00:00.000Z,{1C647AEA-B2AA-43D7-9D50-CF20991DDF25},,,,2016-09-13T00:00:00.000Z,,,,1252.4936147375,0
183,Aweoweo Beach Park,City,68012054,beach, , ,1899-12-30T00:00:00.000Z,{72AFAB01-A9C0-45FA-AF5A-6A189E80C0AE},,,,2016-09-13T00:00:00.000Z,,,,1312.92913777986,0
184,Aweoweo Beach Park,City,68012053,beach, , ,1899-12-30T00:00:00.000Z,{9CD42EF9-776A-46C0-BD42-D564081AA916},,,,2016-09-13T00:00:00.000Z,,,,1789.18399839876,0
185,Au Street B,Other,68012041,road, , ,1899-12-30T00:00:00.000Z,{0F4B6555-8BB8-4D48-B26F-8F01284967CB},,,,2016-09-13T00:00:00.000Z,,,,805.242853495811,0
186,Mokuleia Beach Park,City,68002001,beach, , ,1899-12-30T00:00:00.000Z,{D5292547-898C-4349-9FCC-481D2A5DB837},,,,2016-09-13T00:00:00.000Z,,,,86542.49111382,0
