objectid,ahupuaa,moku,mokupuni,other,gisacres,createdby,agency,publishdat,createdate,modifiedda,modifiedby,deliveryda,sourceid,severity,comments,st_areashape,st_lengthshape
47,Kōloa,Kona,Kauaʻi, ,8745.040, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,35391405.71701,0
63,Nāʻiwa,Kona,Molokaʻi, ,52.24163, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,211412.371078008,0
64,Hālawa,Koʻolau,Molokaʻi, ,8527.154, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,34508209.6816186,0
65,Nāʻiwa,Kona,Molokaʻi, ,49.12795, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,198811.783293793,0
106,Kapuaoko‘olau,Kona,Molokaʻi, ,729.2865, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2951302.05829488,0
48,Kīpū,Puna,Kauaʻi, ,2970.008, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,12019690.5371367,0
107,Pūkoʻo 2,Kona,Molokaʻi, ,100.6113, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,407158.617482861,0
108,Keonekūʻino,Kona,Molokaʻi, ,107.0087, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,433046.891720867,0
49,Lāwai,Kona,Kauaʻi, ,3446.987, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,13949920.5768821,0
66,Hoʻolehua,Kona,Molokaʻi, ,3741.347, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,15140576.578442,0
50,Niumalu,Puna,Kauaʻi, ,1434.399, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,5805041.9220394,0
51,Weliweli,Kona,Kauaʻi, ,1717.952, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,6952585.76777196,0
53,Kīpū Kai,Puna,Kauaʻi, ,1113.982, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,4508305.81893894,0
76,Keōpukaʻuʻuku,Kona,Molokaʻi, ,411.9337, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1667075.49911915,0
54,Māhāʻulepū,Kona,Kauaʻi, ,2724.185, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,11024826.8792391,0
77,Kaiamiki,Koʻolau,Molokaʻi, ,49.96913, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,202217.014661016,0
109,Nihoa,Kona,Molokaʻi, ,149.0747, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,603277.98786481,0
110,Pālāʻau,Kona,Molokaʻi, ,10928.41, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,44225392.9981866,0
55,ʻEleʻele,Kona,Kauaʻi, ,1189.112, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,4812284.2213219,0
56,Niumalu,Puna,Kauaʻi, ,932.3367, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3773188.83786419,0
57,Kïauea,Kona,Molokaʻi, ,4.173650, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,16890.7825692434,0
58,Kaluako‘i,Kona,Molokaʻi, ,50946.86, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,206172874.343888,0
170,Aukuʻu,Waialua,Oʻahu, ,967.3273, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3914625.81833561,0
59,Makanalua,Koʻolau,Molokaʻi, ,1930.969, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,7814305.77549603,0
60,Kalawao,Koʻolau,Molokaʻi, ,1970.208, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,7973102.37868124,0
181,Kualoa 1,Koʻolaupoko,Oʻahu, ,365.9698, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1481023.68838121,0
61,Kalaupapa,Koʻolau,Molokaʻi, ,1243.476, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,5032136.24411609,0
62,Kīpū,Kona,Molokaʻi, ,969.8127, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3924655.10935801,0
67,Kahanui,Kona,Molokaʻi, ,1166.190, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,4719378.55160324,0
68,‘Ïloli,Kona,Molokaʻi, ,152.6081, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,617578.957769378,0
396,Kapuʻa,Kohala,Hawaiʻi, ,224.0407, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,906686.142014565,0
69,Kahanui,Kona,Molokaʻi, ,3325.456, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,13457535.7679251,0
