objectid,golf_course,island,acres,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_lengthshape
42,Kukio Golf Course,Hawaii,380.125, , ,1899-12-30T00:00:00.000Z,{E1B5ED38-77B5-476C-82FD-DDBA08FA5643},,,,2016-09-13T00:00:00.000Z,,,,1538333.72578441,0
43,Makalei Golf Club,Hawaii,418.488, , ,1899-12-30T00:00:00.000Z,{B39BA4C2-D952-452D-BFBC-614C0D173DF4},,,,2016-09-13T00:00:00.000Z,,,,1693568.17799834,0
44,Mauna Lani Golf Course,Hawaii,498.982, , ,1899-12-30T00:00:00.000Z,{F9E49FDD-A192-4D16-BDF1-8A33B9436A91},,,,2016-09-13T00:00:00.000Z,,,,2019342.24157952,0
45,Waikoloa Beach Course,Hawaii,173.971, , ,1899-12-30T00:00:00.000Z,{851814AD-BAB2-428A-9D11-0FA867079E20},,,,2016-09-13T00:00:00.000Z,,,,704048.510079984,0
46,Waikoloa Kings' Course,Hawaii,174.208, , ,1899-12-30T00:00:00.000Z,{E321B6DF-71D5-46F2-A359-FBF8F210F5FD},,,,2016-09-13T00:00:00.000Z,,,,705005.761627664,0
47,Mauna Kea Golf Course,Hawaii,189.974, , ,1899-12-30T00:00:00.000Z,{EA549C4E-EE64-4903-878E-F3F25FD59C9B},,,,2016-09-13T00:00:00.000Z,,,,768818.171254316,0
48,Hapuna Golf Course,Hawaii,240.411, , ,1899-12-30T00:00:00.000Z,{22C6D87E-FC53-4D5A-ADC2-D910183DC2A8},,,,2016-09-13T00:00:00.000Z,,,,972936.967938631,0
49,Waikoloa Village Golf Course,Hawaii,157.212, , ,1899-12-30T00:00:00.000Z,{E73A1CD2-3C74-4BE7-835E-D121176508BE},,,,2016-09-13T00:00:00.000Z,,,,636224.452264361,0
50,Naniloa Country Club,Hawaii,63.0623, , ,1899-12-30T00:00:00.000Z,{FF84341F-CEDC-4179-A3DF-4CFA4655B39A},,,,2016-09-13T00:00:00.000Z,,,,255203.150892169,0
51,Hilo Municipal Golf Course,Hawaii,165.29, , ,1899-12-30T00:00:00.000Z,{CFD27A57-98AA-4060-A73F-A88D25DEC9CC},,,,2016-09-13T00:00:00.000Z,,,,668901.813169518,0
52,Kiahuna Golf Club,Kauai,138.038, , ,1899-12-30T00:00:00.000Z,{2E4844EB-AF40-4E62-89F3-FD4DAF84E240},,,,2016-09-13T00:00:00.000Z,,,,558638.106170906,0
53,Kukuiula Golf Course,Kauai,460.255, , ,1899-12-30T00:00:00.000Z,{E64E4B21-2B40-4A79-AC18-B08F26A69785},,,,2016-09-13T00:00:00.000Z,,,,1862653.91382438,0
54,Poipu Bay Golf Course,Kauai,192, , ,1899-12-30T00:00:00.000Z,{8BE4F7EE-96FB-4FA8-AFFC-0C968F3DA181},,,,2016-09-13T00:00:00.000Z,,,,777023.585753522,0
55,Kukuiolono Golf Course,Kauai,149.123, , ,1899-12-30T00:00:00.000Z,{BDE2D685-5FD2-4178-94D8-D07EDCDC3739},,,,2016-09-13T00:00:00.000Z,,,,603494.109645461,0
65,The King Kamehameha Golf Club,Maui,162.337, , ,1899-12-30T00:00:00.000Z,{490B1776-230B-430A-AD1D-3CCD32D43091},,,,2016-09-13T00:00:00.000Z,,,,656977.855073399,0
56,Kauai Lagoons Golf Club,Kauai,546.071, , ,1899-12-30T00:00:00.000Z,{B61703D5-1DA1-43C8-8EA5-5909CF557F70},,,,2016-09-13T00:00:00.000Z,,,,2209953.4501382,0
57,Puakea Golf Course,Kauai,336.779, , ,1899-12-30T00:00:00.000Z,{7481B5F3-4C67-4451-BE20-F419B6BA62BB},,,,2016-09-13T00:00:00.000Z,,,,1362946.82201438,0
58,Wailua Golf Course,Kauai,241.592, , ,1899-12-30T00:00:00.000Z,{325C28E9-257E-4A94-ABB5-72BDAC96409C},,,,2016-09-13T00:00:00.000Z,,,,977730.79281165,0
59,Princeville Golf Course,Kauai,709.785, , ,1899-12-30T00:00:00.000Z,{787E807E-2FD5-4634-A60F-8664BFDE3CC6},,,,2016-09-13T00:00:00.000Z,,,,2872492.2223553,0
60,Kaanapali Golf Course,Maui,296.778, , ,1899-12-30T00:00:00.000Z,{A07B9EED-9802-414D-8F76-5419AE043DAE},,,,2016-09-13T00:00:00.000Z,,,,1201067.77379629,0
61,Kapalua Golf Course,Maui,471.891, , ,1899-12-30T00:00:00.000Z,{998CFDA7-A4FF-47F7-8B45-B25D6CC36E20},,,,2016-09-13T00:00:00.000Z,,,,1909742.07559904,0
62,Pukalani Country Club,Maui,175.835, , ,1899-12-30T00:00:00.000Z,{7F1B11AF-CBCB-4780-A7C8-E3CA7D460953},,,,2016-09-13T00:00:00.000Z,,,,711599.238004749,0
63,The Dunes at Maui Lani Golf Course,Maui,178.552, , ,1899-12-30T00:00:00.000Z,{B895573D-F1E7-4C94-A1D8-E226B528FE7E},,,,2016-09-13T00:00:00.000Z,,,,722596.72415195,0
64,Kahili Golf Course,Maui,169.024, , ,1899-12-30T00:00:00.000Z,{47D63AD7-3CDB-4225-8FE7-643B70DF9D45},,,,2016-09-13T00:00:00.000Z,,,,684042.550288292,0
66,Waiehu Golf Course,Maui,180.143, , ,1899-12-30T00:00:00.000Z,{A9BFEDD9-7631-4AC1-98B3-A8ECDB59790F},,,,2016-09-13T00:00:00.000Z,,,,729035.87309839,0
67,Elleair Maui Golf Club,Maui,179.516, , ,1899-12-30T00:00:00.000Z,{6296C0C7-7DD9-47F9-AC5A-0AEBEA93D3DD},,,,2016-09-13T00:00:00.000Z,,,,726502.328706146,0
69,Maui Country Club,Maui,64.122, , ,1899-12-30T00:00:00.000Z,{86E180E3-FD8F-4111-86EB-B9ADC0529668},,,,2016-09-13T00:00:00.000Z,,,,259499.750536517,0
68,Wailea Golf Course,Maui,541.535, , ,1899-12-30T00:00:00.000Z,{CAF8CC24-D300-4E13-BC67-DF8929F4DA4C},,,,2016-09-13T00:00:00.000Z,,,,2191594.6792191,0
70,Koele Golf Course,Lanai,338.656, , ,1899-12-30T00:00:00.000Z,{CB651D6B-9D65-490C-9C8E-F2EBA3CBDD17},,,,2016-09-13T00:00:00.000Z,,,,1370507.79804643,0
71,Manele Golf Course,Lanai,400.843, , ,1899-12-30T00:00:00.000Z,{C9A19206-A895-43D7-B57A-9199A81EC078},,,,2016-09-13T00:00:00.000Z,,,,1622198.13848152,0
72,Ironwood Golf Course,Molokai,49.7552, , ,1899-12-30T00:00:00.000Z,{A47F78A0-ACEE-4B27-9FFE-CF4C8CA0D443},,,,2016-09-13T00:00:00.000Z,,,,201349.624001376,0
73,Cavendish Golf Course,Lanai,81.7865, , ,1899-12-30T00:00:00.000Z,{2D524DAE-B103-4FB5-8027-BA8A3CB26BB2},,,,2016-09-13T00:00:00.000Z,,,,330981.697983644,0
74,Makena Golf Course,Maui,646.038, , ,1899-12-30T00:00:00.000Z,{59BFB8A9-2614-4B53-8342-4EABC6C6C514},,,,2016-09-13T00:00:00.000Z,,,,2614517.55090711,0
